max_camber,camber_pos,thickness,reynolds,aoa,cl,cd
0.011,0.304,0.088,4136655,-3.8,-0.2746,0.00583
0.086,0.74,0.087,1372773,0.5,1.0339,0.02264
0.009,0.132,0.065,1525311,-0.1,0.0799,0.00418
0.052,0.179,0.196,540280,9.2,1.1861,0.02257
0.066,0.109,0.052,3693545,8.1,1.4756,0.01207
0.02,0.48,0.15,1272037,11.1,1.2517,0.01618
0.005,0.589,0.186,653585,9.3,1.0365,0.01517
0.09,0.557,0.185,3670528,1.2,1.0039,0.00773
0.089,0.283,0.108,651719,5.3,1.3439,0.01371
0.014,0.139,0.061,3545263,1.1,0.2511,0.00495
0.059,0.207,0.126,576612,-2.0,0.3829,0.012
0.024,0.743,0.178,2555217,9.5,1.058,0.01208
0.098,0.47,0.193,3619145,9.5,1.7691,0.02145
0.093,0.169,0.132,3616976,2.1,1.0444,0.01031
0.04,0.739,0.191,1091397,1.7,0.5036,0.00876
0.086,0.274,0.068,1721434,-2.6,0.5177,0.03383
0.006,0.221,0.058,919499,0.9,0.2209,0.00395
0.0,0.764,0.107,2853764,-4.2,-0.4222,0.00618
0.041,0.143,0.19,4782998,8.9,1.2754,0.01079
0.006,0.426,0.151,518447,-1.0,-0.0253,0.00733
0.099,0.53,0.16,2172888,10.4,1.7809,0.02912
0.094,0.555,0.099,2539719,10.8,1.7448,0.03448
0.087,0.469,0.102,4336985,5.5,1.5052,0.00796
0.013,0.185,0.094,2826500,10.6,1.2582,0.01254
0.014,0.586,0.074,2611359,0.3,0.2289,0.00406
0.063,0.733,0.149,4905176,5.8,1.2132,0.01351
0.041,0.103,0.099,3801189,9.2,1.3845,0.01006
0.074,0.742,0.136,4800439,-0.5,1.0564,0.00448
0.043,0.595,0.168,2970148,-4.6,0.0917,0.00589
0.084,0.725,0.093,1880912,4.7,1.3761,0.02107
0.014,0.523,0.056,4413726,4.4,0.6535,0.00657
0.068,0.353,0.089,2952743,7.6,1.4635,0.01175
0.056,0.665,0.187,4064433,11.2,1.3621,0.02046
0.006,0.307,0.184,1699393,5.7,0.5346,0.00742
0.061,0.557,0.178,4665896,1.1,0.733,0.00629
0.098,0.394,0.103,4729619,2.5,1.3163,0.00722
0.084,0.502,0.17,800116,7.9,1.5094,0.01686
0.078,0.327,0.191,343591,3.4,1.0083,0.01549
0.074,0.245,0.098,4637589,3.9,1.1683,0.00807
0.067,0.405,0.15,815293,-3.9,0.3293,0.00892
0.019,0.651,0.161,142943,8.6,0.9908,0.0212
0.086,0.259,0.176,4691048,8.8,1.6574,0.01288
0.068,0.419,0.118,1085255,4.0,1.1477,0.00782
0.097,0.787,0.153,4138378,-4.7,0.5084,0.01866
0.059,0.314,0.143,4511434,2.4,0.8593,0.00718
0.027,0.272,0.11,3888316,5.0,0.8576,0.00612
0.072,0.702,0.059,4567019,5.8,1.4913,0.01565
0.057,0.428,0.16,607753,3.8,0.9909,0.00955
0.002,0.524,0.06,3781809,5.6,0.657,0.00732
0.042,0.661,0.055,4743580,3.3,0.9489,0.00807
0.086,0.29,0.156,4532595,-3.7,0.4445,0.008
0.042,0.237,0.182,456601,6.2,1.0195,0.01476
0.09,0.191,0.111,2151407,0.1,0.8583,0.01063
0.013,0.3,0.124,3465604,6.9,0.8924,0.00832
0.061,0.305,0.166,894398,-3.1,0.2903,0.00937
0.062,0.46,0.136,2451981,0.9,0.7958,0.00623
0.072,0.554,0.09,2226649,-0.1,0.9383,0.005
0.044,0.259,0.158,3949290,2.9,0.7051,0.00662
0.006,0.238,0.165,692656,-4.3,-0.3386,0.00822
0.088,0.348,0.092,1499045,-2.2,0.6959,0.00841
0.036,0.65,0.102,4374489,4.9,0.9859,0.00873
0.09,0.746,0.144,604232,1.2,0.8689,0.03282
0.013,0.421,0.081,874221,-1.5,0.0063,0.00542
0.037,0.712,0.099,264635,-0.7,0.1912,0.0175
0.07,0.39,0.189,1840611,6.9,1.3376,0.0116
0.097,0.721,0.085,3438558,-0.6,1.4234,0.00512
0.005,0.528,0.174,505090,7.5,0.8853,0.01378
0.019,0.573,0.075,4225054,2.2,0.481,0.00575
0.031,0.312,0.2,2447508,4.5,0.6059,0.00726
0.018,0.778,0.072,2171996,1.1,0.4342,0.00524
0.034,0.682,0.13,4274948,-2.1,0.3178,0.00426
0.077,0.147,0.086,3051435,5.1,1.2715,0.01061
0.087,0.631,0.117,3376185,0.8,1.2561,0.00491
0.009,0.689,0.186,2929470,-3.4,-0.2135,0.00636
0.008,0.329,0.076,429525,4.4,0.5865,0.01066
0.071,0.622,0.079,2352906,-0.5,0.9653,0.00459
0.014,0.722,0.171,2474012,-1.9,0.0002,0.00594
0.002,0.45,0.114,1234972,10.4,1.1283,0.01536
0.027,0.42,0.085,4552759,3.0,0.6491,0.00534
0.051,0.193,0.185,2211525,-4.7,0.0237,0.00853
0.002,0.788,0.079,2584869,0.2,0.0582,0.00408
0.061,0.683,0.068,1278530,-4.5,0.4283,0.00766
0.003,0.396,0.147,2099455,3.3,0.3566,0.00606
0.035,0.197,0.154,1471516,-0.1,0.3206,0.00748
0.043,0.11,0.174,1953794,-4.0,0.0168,0.00919
0.023,0.423,0.108,3463582,3.3,0.6117,0.00523
0.056,0.142,0.142,2373004,0.3,0.546,0.00986
0.036,0.57,0.11,1619214,11.8,1.4498,0.01969
0.015,0.663,0.079,2981992,1.6,0.388,0.00542
0.049,0.759,0.188,4210629,-1.2,0.3589,0.00724
0.015,0.723,0.104,4666852,6.2,0.8705,0.00807
0.036,0.12,0.17,2269990,6.2,0.9653,0.01036
0.016,0.728,0.083,214514,-4.0,-0.3813,0.01415
0.019,0.103,0.088,1487084,-0.2,0.1739,0.00739
0.052,0.703,0.106,3041343,1.2,0.8788,0.00507
0.081,0.372,0.194,1076161,-0.4,0.5934,0.01073
0.067,0.106,0.137,961331,-1.1,0.4965,0.02317
0.08,0.365,0.169,3383614,9.1,1.6758,0.01223
0.096,0.229,0.14,132696,-1.4,0.6716,0.03553
0.023,0.184,0.163,3297075,9.0,1.1952,0.00935
0.085,0.125,0.125,4335958,7.9,1.4955,0.01315
0.076,0.438,0.169,479984,6.8,1.3643,0.01467
0.002,0.562,0.12,1438125,4.5,0.4918,0.00725
0.048,0.263,0.083,3563936,10.4,1.5369,0.01355
0.088,0.351,0.062,1778638,-4.3,0.372,0.04533
0.013,0.59,0.183,3305426,8.4,0.9717,0.00951
0.041,0.184,0.079,1761428,-1.3,0.267,0.00788
0.06,0.427,0.153,1406888,10.2,1.5172,0.01628
0.005,0.315,0.131,4127565,4.9,0.5421,0.00625
0.064,0.362,0.09,4155363,6.4,1.3509,0.00888
0.072,0.17,0.079,1428277,5.6,1.265,0.01239
0.054,0.201,0.084,3905267,-0.2,0.5141,0.00754
0.022,0.72,0.182,2618609,3.9,0.5667,0.00736
0.082,0.351,0.118,806023,6.2,1.4018,0.01209
0.05,0.139,0.136,4118813,-4.4,0.0188,0.00779
0.013,0.747,0.083,1991277,-3.7,-0.1617,0.00612
0.019,0.284,0.156,4966530,4.1,0.6051,0.00569
0.086,0.71,0.198,3206691,9.0,1.4301,0.02668
0.041,0.285,0.194,652517,1.2,0.3787,0.00909
0.082,0.446,0.128,4672049,4.5,1.3411,0.00707
0.031,0.524,0.199,1899505,9.4,1.1791,0.01368
0.027,0.248,0.184,477976,-2.7,0.0057,0.00904
0.076,0.702,0.166,2819471,-0.3,0.9745,0.00565
0.072,0.42,0.099,820476,5.8,1.3726,0.00945
0.024,0.603,0.075,1547042,8.8,1.2044,0.01475
0.083,0.198,0.126,694614,10.1,1.6013,0.02266
0.066,0.591,0.062,1868130,7.6,1.4792,0.01774
0.068,0.356,0.054,2442650,5.4,1.2778,0.01031
0.004,0.353,0.137,2562488,11.5,1.2888,0.01377
0.058,0.727,0.138,3895236,-1.5,0.751,0.00408
0.002,0.479,0.094,3208449,8.8,1.0217,0.0099
0.002,0.267,0.147,2437629,-0.6,-0.0407,0.00561
0.082,0.364,0.123,2108241,9.2,1.7046,0.01183
0.026,0.592,0.125,2493814,0.8,0.438,0.00516
0.067,0.771,0.157,4597306,6.7,1.3398,0.01693
0.056,0.497,0.195,1410628,10.5,1.4197,0.02058
0.071,0.405,0.05,4278588,8.9,1.5826,0.01957
0.076,0.438,0.156,1487054,6.5,1.3987,0.01055
0.062,0.104,0.175,264758,-3.8,0.2555,0.02722
0.099,0.101,0.121,868208,-0.3,0.7999,0.03065
0.078,0.391,0.195,4643343,-1.8,0.5012,0.00744
0.023,0.356,0.053,4988256,-3.4,-0.1058,0.00519
0.052,0.535,0.059,3108945,5.6,1.2087,0.01041
0.014,0.798,0.152,701423,7.7,0.946,0.01239
0.079,0.1,0.091,3302863,8.8,1.5713,0.01595
0.012,0.191,0.162,764705,4.1,0.5021,0.00847
0.01,0.51,0.101,3664228,9.6,1.1634,0.01081
0.012,0.125,0.15,640864,2.4,0.3335,0.00755
0.031,0.62,0.122,1891012,3.8,0.7828,0.00723
0.01,0.355,0.059,3342303,-3.9,-0.3029,0.00572
0.065,0.144,0.129,2579352,1.0,0.709,0.00988
0.044,0.467,0.097,4726300,7.1,1.2297,0.00998
0.02,0.54,0.153,2422587,-2.1,0.0431,0.00571
0.057,0.194,0.073,3155752,1.1,0.6806,0.00788
0.048,0.753,0.173,3425958,3.7,0.8307,0.00937
0.073,0.457,0.082,1800719,10.9,1.6608,0.02339
0.076,0.505,0.172,3107666,9.0,1.571,0.01672
0.072,0.713,0.179,836449,2.5,0.9224,0.01286
0.072,0.356,0.063,2850040,10.2,1.6804,0.01826
0.065,0.622,0.158,3135539,8.7,1.3371,0.01714
0.076,0.16,0.177,2705921,6.2,1.0934,0.01404
0.03,0.452,0.154,2747573,-3.4,0.0028,0.00628
0.075,0.408,0.12,3750215,-0.9,0.7429,0.00636
0.074,0.262,0.134,954857,8.3,1.456,0.01493
0.018,0.565,0.151,3652329,10.5,1.2664,0.01216
0.082,0.74,0.152,1638548,10.0,1.6375,0.03214
0.017,0.46,0.089,2774819,-1.9,0.0149,0.00509
0.042,0.715,0.059,4874303,9.8,1.6077,0.0191
0.013,0.514,0.131,1354708,2.7,0.4225,0.00577
0.075,0.505,0.151,807970,-1.5,0.7123,0.00814
0.088,0.282,0.122,3961328,8.7,1.7415,0.01025
0.032,0.302,0.192,3265503,-1.5,0.1573,0.00717
0.042,0.338,0.052,4899643,8.4,1.309,0.01302
0.027,0.6,0.178,3421491,9.5,1.211,0.0121
0.02,0.502,0.169,1586494,8.5,1.1014,0.01159
0.066,0.186,0.181,4154166,-1.6,0.3939,0.0088
0.059,0.336,0.111,4677677,1.3,0.7807,0.00651
0.091,0.158,0.101,1547005,5.0,1.3066,0.01435
0.05,0.76,0.131,765293,5.8,1.1248,0.01411
0.051,0.176,0.191,1034466,11.5,1.3884,0.02378
0.045,0.276,0.067,1747949,11.7,1.5274,0.02242
0.08,0.508,0.106,3098813,9.7,1.6004,0.02169
0.089,0.347,0.113,270499,-1.6,0.7492,0.01577
0.072,0.715,0.09,4647801,11.0,1.8548,0.0252
0.047,0.788,0.08,3825992,5.5,1.2885,0.01175
0.032,0.746,0.159,3488771,11.5,1.3631,0.01535
0.098,0.353,0.144,672530,3.3,1.1591,0.01408
0.007,0.734,0.084,217399,-2.2,-0.2993,0.00925
0.024,0.131,0.145,783185,10.5,1.2418,0.01627
0.079,0.47,0.069,1442008,8.1,1.5529,0.01825
0.029,0.416,0.188,2668339,7.2,1.0313,0.00891
0.074,0.211,0.077,423517,6.1,1.3218,0.01676
